"Project.Name","User.Email","Plate.Name","Well","NCBITaxId","Sample.Name","Concentration.ng.ul.","Volume.ul.","Experimental.Condition","Tissue.Type","Within.plate.num","rowname","plate.order","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","initial.conc","dilution.H2O","dilution.sample"
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","A01","4577","19A0205",203,"20","Experimental","Kernel",1,"1",1,"1",2,2020-06-18,20,TRUE,815.697,15,5
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","B01","4577","19A0303",214,"20","Experimental","Kernel",2,"2",2,"1",2,2020-06-21,18,TRUE,1428.1,17,3
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","C01","4577","19A0202",226,"20","Experimental","Kernel",3,"3",3,"1",5,2020-07-07,12,TRUE,756.193,14,6
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","D01","4577","19A0240",214,"20","Experimental","Kernel",4,"4",4,"2",6,2020-07-19,24,TRUE,858.728,15,5
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","E01","4577","19A0366",209,"20","Experimental","Kernel",5,"5",5,"1",6,2020-07-09,11,TRUE,838.469,15,5
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","F01","4577","19A0210",226,"20","Experimental","Kernel",6,"6",6,"1",3,2020-06-28,16,TRUE,907.018,15,5
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","G01","4577","19A0148",202,"20","Experimental","Kernel",7,"7",7,"1",4,2020-07-01,22,TRUE,811.411,15,5
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","H01","4577","19A0369",218,"20","Experimental","Kernel",8,"8",8,"2",7,2020-07-20,21,TRUE,872.982,15,5
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","A02","4577","19A0133",224,"20","Experimental","Kernel",9,"9",9,"2",6,2020-07-16,16,TRUE,642.048,13,7
"SweetCornRNAseqExp","jmh579@cornell.edu","SC_RNA_01","B02","4577","19A0410",257,"20","Experimental","Kernel",10,"10",10,"1",1,2020-03-15,19,TRUE,2577.144,18,2
